title,image_url,summary
ICC issues arrest warrant for Israeli premier Benjamin Netanyahu - Financial Times,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F1c61e8b6-642e-4ddc-8fe6-09ae0fd5c318.jpg?source=next-barrier-page,Get essential digital access to quality FT journalism on any device. Pay a year upfront and save 20% Then Rs4335 per month. Complete digital access to quality FT journalism. Complete digital access to quality FT journalism with expert analysis from industry leaders. Terms & Conditions apply See why over a million readers pay to read the Financial Times.
2 boys drowned and a deception that gripped the nation: Why the Susan Smith case is still intensely felt 30 years later - CNN,"https://media.cnn.com/api/v1/images/stellar/prod/ap24323659459160.jpg?c=16x9&q=w_800,c_fill","Inside Susan Smith’s car pulled from the bottom of a South Carolina lake in 1994 were the bodies of her two young boys, still strapped in their car seats, along with her wedding dress and photo album. “The betrayal was worse than had there been a carjacker, and that’s what’s made it resonate through the decades now – people were so drawn in to help and drawn in by Susan,” Pope told CNN. But when Smith received his breakup letter, she took it to heart, he said. “Susan’s description was so generic, if she had stuck with it and tried to identify somebody … It’s terrifying to think if she had really named somebody,” the prosecutor said. In the nine days that Susan Smith repeated her lie again and again, often sobbing and appearing emotionally distraught on camera, Pope believes one media interview – in retrospect – revealed a likely truth."
Atlas of cells offers a milestone leap in understanding of the human body - CNN,"https://media.cnn.com/api/v1/images/stellar/prod/2-ibd-gut-tissue-a-oliver-et-al-2024.jpg?c=16x9&q=w_800,c_fill","What’s more, cells change as humans age and in relation to the external environment. Related article Largest known genome is within this plain plant on the forest floor, study says This technology, combined with powerful computing and artificial intelligence methods, allows researchers to create an ID card for each cell type. The cell atlas aims to fill in a missing link between genes, diseases and treatment therapies. “This landmark collection of papers from the international Human Cell Atlas community underscores the tremendous progress toward mapping every single kind of human cell and how they change as we grow up and age,” Farrar said in a statement."
"Australian tourist dies after drinking tainted alcohol in Laos, raising toll to 4 including American - The Associated Press",https://dims.apnews.com/dims4/default/5670c7a/2147483647/strip/true/crop/6000x3375+0+312/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F31%2Fa8%2F67c3198ab029797b009c8d025285%2F8a7a2e0c8636413eb5ecd5e5abf96c4e,"An American and two Danish tourists have also died, officials said, after reports that multiple people had been sickened in the town. (AP Photo/Anupam Nath) A woman swipes the floor as foreign tourists check out of Nana Backpack hostel in Vang Vieng, Laos, Tuesday, Nov. 19, 2024. An American and two Danish tourists also died, officials said, following reports that several people had been sickened in a Laotian town popular with backpackers. Australian Prime Minister Anthony Albanese told Parliament that 19-year-old Bianca Jones had died after being evacuated from Vang Vieng, Laos for treatment in a Thai hospital. “This is every parent’s very worst fear and a nightmare that no one should have to endure,” Albanese said."
Northern California faces possible record-breaking rainfall from atmospheric river as another bomb cyclone potentially looms - CNN,"https://media.cnn.com/api/v1/images/stellar/prod/ap24325731497202.jpg?c=16x9&q=w_800,c_fill","Flooding forced road closures Thursday in Northern California’s Sonoma County, including its largest city, Santa Rosa, some 55 miles north of San Francisco, social media posts from state and local authorities show. Roads flooded in multiple locations, the fire department said Thursday evening, urging residents to “avoid unnecessary travel during this time.” Related article New threat emerges as atmospheric river combines with once-in-a-decade bomb cyclone on the West Coast “This one could have greater impacts now that soils are saturated, making it easier for trees to uproot and topple over,” the National Weather Service in Eureka, California, said. CNN’s Rebekah Riess, Isaac Yee, Hanna Park, Sara Smart, Andy Rose, Mike Madrigal and Taylor Romine contributed to this report."
Billionaire Gautam Adani indicted in New York on bribery charges - CNN,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2165426021.jpg?c=16x9&q=w_800,c_fill","Indian billionaire Gautam Adani and other executives were indicted in New York on Wednesday by US prosecutors for their alleged roles in a yearslong, multi-million-dollar bribery and fraud scheme involving plans to develop a major solar power plant. The Department of Justice (DOJ) said in a statement that Adani, a key ally of Indian Prime Minister Narendra Modi, and seven other executives, including his nephew Sagar Adani, promised more than $250 million in bribes to Indian government officials to secure solar energy contracts. “In light of these developments, our subsidiaries have presently decided not to proceed with the proposed USD denominated bond offerings,” it said. The SEC said Adani Green raised more than $175 million from US investors on those misrepresentations. US market indices are shown in real time, except for the S&P 500 which is refreshed every two minutes."
"John Prescott, former UK deputy prime minister, has died, his family says - CNN","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-140075461.jpg?c=16x9&q=w_800,c_fill","John Prescott, a former British deputy prime minister in Tony Blair’s Labour government, has died, his family said on Thursday. Prescott, 86, died following a battle with Alzheimer’s, his family said in a post on X. He served as deputy prime minister from 1997 to 2007. Prescott was one of Blair’s most colourful ministers and was known as a plain-speaking politician who bridged the divide between the traditional left-wing and the modernizers in the Labour Party. CNN Sans ™ & © 2016 Cable News Network."
NVIDIA Corp (NVDA) Q3 2025 Earnings Call Highlights: Record Revenue and Strong AI Demand Propel ... - Yahoo Finance,https://media.zenfs.com/en/us.finance.gurufocus/616b8c75d397e9b80edd7b1bef03288c,"There are concerns about potential digestion phases in hardware deployment cycles, which could impact growth as the market adjusts to new technologies. Q: Can you discuss the debate around whether scaling for large language models has stalled and how NVIDIA is addressing this? A: Jensen Huang assured that Blackwell production is in full steam, with more units being delivered than previously estimated. A: Colette Kress, CFO, stated that Blackwell will ramp with initial gross margins in the low 70s, improving to mid-70s as production scales. Jensen Huang added that Blackwell shipments will increase each quarter, with significant demand driven by shifts in computing from CPUs to GPUs."
"Ukraine fires British-French Storm Shadow missiles into Russia for first time, say reports - CNN","https://media.cnn.com/api/v1/images/stellar/prod/ap23311780869363.jpg?c=16x9&q=w_800,c_fill","Ukraine launched the British-French-made Storm Shadow missiles at targets inside Russia for the first time on Wednesday, according to a Russian military blog and Reuters, a day after Ukraine fired US-made ATACMS missiles into Russia. Nor did a spokesperson for the UK Ministry of Defense when asked by CNN. When Umerov was asked if Ukraine used the Storm Shadow missiles to hit a target inside Russia, he replied, “we are using all the means to defend our country, so we’ll not go into detail. Umerov added: “We’ll be defending and giving punches back… with all the means available.” CNN's Nick Paton Walsh reports Related video Dramatic developments brought on by 1,000-day Ukraine war BBC’s diplomatic correspondent Paul Adams wrote on Wednesday that “Ukraine has so far confined the use of Storm Shadow to the Kursk region, where Ukrainian troops continue to hold ground.” He noted reports were still murky, and the target is not known “but Storm Shadow is powerful enough to penetrate bunkers, with extreme accuracy.”"
"Horoscope for Thursday, November 21, 2024 - Chicago Sun-Times",https://cst.brightspotcdn.com/dims4/default/2145dbd/2147483647/strip/true/crop/870x497+0+67/resize/1461x834!/quality/90/?url=https%3A%2F%2Fchorus-production-cst-web.s3.us-east-1.amazonaws.com%2Fbrightspot%2Fac%2Ffd%2F790f04b15195427014757adc0272%2Fgeorgia-nicols.jpg,"An average day Once a year, the sun will sit across from your sign for four weeks. An average day You will have a stronger focus on home, family and your private life for the next four weeks. An average day Very likely, you will give some serious thought to your value system in the next four weeks. A positive day Today the sun enters your sign to stay for four weeks. This sun will also make you project yourself with more power and charisma."
